audit_id,record_type,category,control,expected,observed,status,blocking,evidence,correction,notes,mapped_story_ids
SEQ16D-001,AUDIT_CONTROL,INVENTORY,Exact allocation count,985,985,PASS,NO,v1.44 allocation ledger,,,
SEQ16D-002,AUDIT_CONTROL,INVENTORY,A1 Sense allocation,602,602,PASS,NO,,,,
SEQ16D-003,AUDIT_CONTROL,INVENTORY,Grammar allocation,169,169,PASS,NO,,,,
SEQ16D-004,AUDIT_CONTROL,INVENTORY,MWU allocation,214,214,PASS,NO,,,,
SEQ16D-005,AUDIT_CONTROL,INVENTORY,A2 boundary first introductions,0,0,PASS,NO,,,,
SEQ16D-006,AUDIT_CONTROL,TOPOLOGY,Module count,8,8,PASS,NO,,,,
SEQ16D-007,AUDIT_CONTROL,TOPOLOGY,Island count,32,32,PASS,NO,,,,
SEQ16D-008,AUDIT_CONTROL,TOPOLOGY,Story blueprint count after load correction,103,103,PASS,NO,,7 high-load islands expanded from 3 to 4 stories,,
SEQ16D-009,AUDIT_CONTROL,LOAD,Maximum new targets per story internal guardrail,<=20,20,PASS,NO,,Rebalanced first introductions; 7 islands receive S4 final transfer story,"Internal engineering guardrail, not a scientific mastery threshold.",
SEQ16D-010,AUDIT_CONTROL,LOAD,Final transfer stories with new targets,0/32,0/32,PASS,NO,,,,
SEQ16D-011,AUDIT_CONTROL,CAPSTONE,Capstone first introductions,0,0,PASS,NO,,,,
SEQ16D-012,AUDIT_CONTROL,PREREQUISITES,Hard-prerequisite chain violations,0,0,PASS,NO,,,,
SEQ16D-013,AUDIT_CONTROL,PREREQUISITES,Premature function reuse violations,0,0,PASS,NO,,Removed premature reuse references FUNC-A1-030 from M04-I03 and FUNC-A1-006 from M06-I01,,
SEQ16D-014,AUDIT_CONTROL,FUNCTIONS,Function positions covered,55/55,55/55,PASS,NO,,,53 unique first introductions + 2 documented cross-reference positions.,
SEQ16D-015,AUDIT_CONTROL,GRAPH,Recycle edges,2955,2955,PASS,NO,,,,
